has,prefers,count
Abrines Redondo Alejandro,PointsMade,2
Abrines Redondo Alejandro,Assists,0
Abrines Redondo Alejandro,Steals,0
Abrines Redondo Alejandro,Fouls,0
Calderon Jose,PointsMade,3
Calderon Jose,Assists,1
Calderon Jose,Steals,2
Calderon Jose,Fouls,1
Claver Victor,PointsMade,6
Claver Victor,Assists,0
Claver Victor,Steals,2
Claver Victor,Fouls,2
Fernandez Rudy,PointsMade,12
Fernandez Rudy,Assists,4
Fernandez Rudy,Steals,1
Fernandez Rudy,Fouls,0
Gasol Marc,PointsMade,15
Gasol Marc,Assists,4
Gasol Marc,Steals,2
Gasol Marc,Fouls,3
Gasol Pau,PointsMade,33
Gasol Pau,Assists,2
Gasol Pau,Steals,0
Gasol Pau,Fouls,1
Ibaka Serge,PointsMade,0
Ibaka Serge,Assists,0
Ibaka Serge,Steals,0
Ibaka Serge,Fouls,0
Navarro Juan C.,PointsMade,10
Navarro Juan C.,Assists,2
Navarro Juan C.,Steals,0
Navarro Juan C.,Fouls,0
Rodriguez Sergio,PointsMade,6
Rodriguez Sergio,Assists,4
Rodriguez Sergio,Steals,1
Rodriguez Sergio,Fouls,0
Rubio Ricky,PointsMade,3
Rubio Ricky,Assists,5
Rubio Ricky,Steals,5
Rubio Ricky,Fouls,2
Reyes Felipe,PointsMade,0
Reyes Felipe,Assists,0
Reyes Felipe,Steals,0
Reyes Felipe,Fouls,0
PointsMade,Abrines Redondo Alejandro,2
Assists,Abrines Redondo Alejandro,0
Steals,Abrines Redondo Alejandro,0
Fouls,Abrines Redondo Alejandro,0
PointsMade,Calderon Jose,3
Assists,Calderon Jose,1
Steals,Calderon Jose,2
Fouls,Calderon Jose,1
PointsMade,Claver Victor,6
Assists,Claver Victor,0
Steals,Claver Victor,2
Fouls,Claver Victor,2
PointsMade,Fernandez Rudy,12
Assists,Fernandez Rudy,4
Steals,Fernandez Rudy,1
Fouls,Fernandez Rudy,0
PointsMade,Gasol Marc,15
Assists,Gasol Marc,4
Steals,Gasol Marc,2
Fouls,Gasol Marc,3
PointsMade,Gasol Pau,33
Assists,Gasol Pau,2
Steals,Gasol Pau,0
Fouls,Gasol Pau,1
PointsMade,Ibaka Serge,0
Assists,Ibaka Serge,0
Steals,Ibaka Serge,0
Fouls,Ibaka Serge,0
PointsMade,Navarro Juan C.,10
Assists,Navarro Juan C.,2
Steals,Navarro Juan C.,0
Fouls,Navarro Juan C.,0
PointsMade,Rodriguez Sergio,6
Assists,Rodriguez Sergio,4
Steals,Rodriguez Sergio,1
Fouls,Rodriguez Sergio,0
PointsMade,Rubio Ricky,3
Assists,Rubio Ricky,5
Steals,Rubio Ricky,5
Fouls,Rubio Ricky,2
PointsMade,Reyes Felipe,0
Assists,Reyes Felipe,0
Steals,Reyes Felipe,0
Fouls,Reyes Felipe,0
PointsMade,Llull Sergio,0
Assists,Llull Sergio,0
Steals,Llull Sergio,0
Fouls,Llull Sergio,3